date,container_throughput
1995-01-28,946.36
1995-02-28,867.45
1995-03-28,969.54
1995-04-28,960.13
1995-05-28,988.27
1995-06-28,973.04
1995-07-28,1037.36
1995-08-28,1046.53
1995-09-28,977.47
1995-10-28,1047.89
1995-11-28,986.85
1995-12-28,1045.14
1996-01-28,1047.67
1996-02-28,958.42
1996-03-28,1021.53
1996-04-28,1040.96
1996-05-28,1093.59
1996-06-28,1073.73
1996-07-28,1143.93
1996-08-28,1128.48
1996-09-28,1085.66
1996-10-28,1137.66
1996-11-28,1098.74
1996-12-28,1114.11
1997-01-28,1105.2
1997-02-28,963.32
1997-03-28,1187.06
1997-04-28,1139.66
1997-05-28,1180.4
1997-06-28,1183.7
1997-07-28,1250.59
1997-08-28,1235.57
1997-09-28,1207.08
1997-10-28,1272.03
1997-11-28,1198.91
1997-12-28,1212.36
1998-01-28,1144.11
1998-02-28,1047.96
1998-03-28,1312.16
1998-04-28,1256.44
1998-05-28,1278.53
1998-06-28,1355.05
1998-07-28,1327.4
1998-08-28,1286.21
1998-09-28,1275.32
1998-10-28,1289.78
1998-11-28,1268.19
1998-12-28,1294.4
1999-01-28,1198.16
1999-02-28,1143.95
1999-03-28,1321.73
1999-04-28,1292.65
1999-05-28,1369.36
1999-06-28,1357.75
1999-07-28,1381.62
1999-08-28,1426.02
1999-09-28,1345.8
1999-10-28,1381.77
1999-11-28,1338.37
1999-12-28,1387.62
2000-01-28,1333.93
2000-02-28,1382.96
2000-03-28,1512.4
2000-04-28,1455.18
2000-05-28,1494.14
2000-06-28,1486.32
2000-07-28,1492.51
2000-08-28,1507.12
2000-09-28,1393.86
2000-10-28,1430.99
2000-11-28,1325.54
2000-12-28,1271.96
2001-01-28,1181.34
2001-02-28,1156.03
2001-03-28,1341.81
2001-04-28,1264.96
2001-05-28,1307.79
2001-06-28,1294.49
2001-07-28,1353.52
2001-08-28,1349.62
2001-09-28,1332.51
2001-10-28,1359.93
2001-11-28,1302.71
2001-12-28,1326.38
2002-01-28,1322.54
2002-02-28,1256.26
2002-03-28,1435.04
2002-04-28,1392.63
2002-05-28,1452.75
2002-06-28,1421.47
2002-07-28,1497.48
2002-08-28,1473.65
2002-09-28,1430.12
2002-10-28,1437.62
2002-11-28,1406.76
2002-12-28,1414.61
2003-01-28,1402.8
2003-02-28,1319.8
2003-03-28,1527.21
2003-04-28,1452.4
2003-05-28,1516.39
2003-06-28,1546.04
2003-07-28,1630.04
2003-08-28,1622.58
2003-09-28,1550.72
2003-10-28,1628.92
2003-11-28,1563.92
2003-12-28,1649.65
2004-01-28,1612.94
2004-02-28,1482.22
2004-03-28,1742.57
2004-04-28,1707.69
2004-05-28,1792.45
2004-06-28,1857.88
2004-07-28,1871.09
2004-08-28,1877.99
2004-09-28,1858.61
2004-10-28,1858.88
2004-11-28,1759.74
2004-12-28,1907.05
2005-01-28,1848.16
2005-02-28,1690.23
2005-03-28,1984.77
2005-04-28,1890.3
2005-05-28,1971.31
2005-06-28,1992.44
2005-07-28,1985.45
2005-08-28,2039.76
2005-09-28,1942.73
2005-10-28,1990.65
2005-11-28,1876.11
2005-12-28,1980.3
2006-01-28,1948.31
2006-02-28,1759.94
2006-03-28,2052.97
2006-04-28,1958.25
2006-05-28,2066.82
2006-06-28,2016.86
2006-07-28,2127.93
2006-08-28,2269.97
2006-09-28,2130.31
2006-10-28,2175.39
2006-11-28,2097.24
2006-12-28,2188.38
2007-01-28,2170.52
2007-02-28,2117.71
2007-03-28,2290.93
2007-04-28,2221.44
2007-05-28,2349.12
2007-06-28,2320.62
2007-07-28,2444.09
2007-08-28,2456.69
2007-09-28,2356.11
2007-10-28,2402.76
2007-11-28,2323.27
2007-12-28,2482.2
2008-01-28,2455.55
2008-02-28,2308.35
2008-03-28,2567.12
2008-04-28,2534.08
2008-05-28,2632.96
2008-06-28,2527.02
2008-07-28,2729.14
2008-08-28,2641.46
2008-09-28,2555.74
2008-10-28,2522.02
2008-11-28,2288.54
2008-12-28,2156.29
2009-01-28,1974.37
2009-02-28,1850.46
2009-03-28,2193.29
2009-04-28,2085.12
2009-05-28,2098.83
2009-06-28,2096.95
2009-07-28,2220.59
2009-08-28,2276.51
2009-09-28,2145.44
2009-10-28,2314.3
2009-11-28,2326.91
2009-12-28,2283.8
2010-01-28,2332.3
2010-02-28,2183.21
2010-03-28,2409.63
2010-04-28,2320.77
2010-05-28,2422.52
2010-06-28,2394.97
2010-07-28,2520.84
2010-08-28,2426.45
2010-09-28,2233.76
2010-10-28,2392.13
2010-11-28,2415.51
2010-12-28,2379.03
2011-01-28,2416.06
2011-02-28,2146.93
2011-03-28,2504.23
2011-04-28,2461.11
2011-05-28,2571.76
2011-06-28,2482.29
2011-07-28,2639.54
2011-08-28,2625.7
2011-09-28,2410.24
2011-10-28,2568.73
2011-11-28,2472.11
2011-12-28,2638.99
2012-01-28,2542.77
2012-02-28,2345.39
2012-03-28,2648.71
2012-04-28,2600.02
2012-05-28,2792.98
2012-06-28,2710.4
2012-07-28,2769.65
2012-08-28,2744.72
2012-09-28,2609.06
2012-10-28,2675.43
2012-11-28,2589.13
2012-12-28,2621.1
2013-01-28,2629.65
2013-02-28,2361.57
2013-03-28,2643.66
2013-04-28,2627.71
2013-05-28,2826.57
2013-06-28,2725.15
2013-07-28,2952.62
2013-08-28,2818.2
2013-09-28,2715.96
2013-10-28,2823.91
2013-11-28,2694.29
2013-12-28,2759.31
2014-01-28,2685.9
2014-02-28,2413.23
2014-03-28,2835.28
2014-04-28,2791.37
2014-05-28,2942.7
2014-06-28,2837.52
2014-07-28,2945.22
2014-08-28,2869.25
2014-09-28,2809.85
2014-10-28,2971.42
2014-11-28,2858.41
2014-12-28,2909.11
2015-01-28,2781.53
2015-02-28,2607.47
2015-03-28,2735.86
2015-04-28,2633.1
2015-05-28,2622.87
2015-06-28,2616.76
2015-07-28,2554.46
2015-08-28,2525.9
2015-09-28,2427.65
2015-10-28,2497.05
2015-11-28,2404.4
2015-12-28,2515.21
2016-01-28,2488.43
2016-02-28,2383.77
